game_id,date_start,type,table,num,scoring_version,judge,winner_code,first_killed,best_player,our_player_count,our_players,table_players,source_url,error
601340,2026-07-12 08:58:19,match,8,16,3.0,Гуcь,1,1306,Киса,2,ФДМ; Д. Колбасенко,Данил_Колбасенко; pevoon; Кирюшкинс; механика; Пряник_virtuspro_19; KAA; Том; Генрих; Киса; ФДМ,https://polemicagame.com/match/601340,
601344,2026-07-12 09:05:49,match,6,9,3.0,Скорпионша ,1,128592,Доктор_Ливси,1,Марипоса,смажьте мясо маслом; комик; ВреднаЯ; механика; отче; Марипоса; Ллирик; Доктор_Ливси; Stereo; Rikso,https://polemicagame.com/match/601344,
601346,2026-07-12 09:07:11,match,6,10,3.0,Скорпионша ,0,15013,Country,2,Macarena; Аномалия,Django; Macarena; Anомалия; Кирюшкинс; Hartmann; Demi; Country; 4p0k; aveeeee; Kaiser,https://polemicagame.com/match/601346,
601345,2026-07-12 09:08:52,match,1,13,3.0,Dmitry_st,0,99882,Ллирик,1,Elric,Доктор_Ливси; смажьте мясо маслом; Nmeshka; Vibe; Kaiser; Рус; JTH; Elric; WIMP; Ллирик,https://polemicagame.com/match/601345,
601347,2026-07-12 09:10:06,match,1,14,3.0,Dmitry_st,1,4682,aveeeee,1,ФДМ,Doc.; Катеринa; Demi; aveeeee; Django; Киса; Помидор; ФДМ; 4p0k; Генрих,https://polemicagame.com/match/601347,
601350,2026-07-12 09:11:38,match,6,11,3.0,Скорпионша ,1,73014,Кcю,2,Axeon; Секрет,Секрет-; Маэстро СПб; Talisman; Зазеркалье; Axeon; Kilaaahhhh; sokl; Nmeshka; Кcю; Nevesta,https://polemicagame.com/match/601350,
601348,2026-07-12 09:11:41,match,1,15,3.0,Dmitry_st,1,98224,sokl,3,Секрет; Аномалия; Марипоса,Феодал; Country; sokl; Stereo; MIRS; Секрет-; Зазеркалье; Айра.; Anомалия; Марипоса,https://polemicagame.com/match/601348,
601349,2026-07-12 09:13:07,match,1,16,3.0,Dmitry_st,0,51777,Пиджак,1,Ластхиро,Сандра; 23; Оладуш; Птичка 23; Пиджак; Ластхиро; Рэндом; г-н Sema; Незабудочная; Krista,https://polemicagame.com/match/601349,
601351,2026-07-12 09:15:11,match,6,12,3.0,Скорпионша ,1,34509,Пряник_virtuspro_19,1,Elric,Пряник_virtuspro_19; Размен; ВреднаЯ; Чеба; Парадокс2727; JTH; Demi; pevoon; Vibe; Elric,https://polemicagame.com/match/601351,
601352,2026-07-12 09:19:33,match,2,9,3.0,Leap,1,1316,Ластхиро,3,Ластхиро; ФДМ; Аномалия,Сандра; Кcю; Sol invictus; Чеба; ФДМ; Помидор; Defita; Anомалия; Инкогнито; Ластхиро,https://polemicagame.com/match/601352,
